card_id,ssn,bname,fname,lname,email,address,phonenumber
ID000001,850473740,Mark Morgan,Mark,Morgan,mmorgan0@g.co,"5677 Coolidge Street, Plano, TX",4699041438
ID000002,256954382,Eric Warren,Eric,Warren,ewarren1@ed.gov,"9062 Schurz Drive, Dallas, TX",2147018127
ID000003,256515268,Robert Harper,Robert,Harper,rharper2@angelfire.com,"7786 Sachs Place, Plano, TX",2148755911
ID000004,976952914,Donna Franklin,Donna,Franklin,dfranklin3@alexa.com,"3 Magdeline Terrace, Plano, TX",2148006127
ID000005,906633588,Linda King,Linda,King,lking4@illinois.edu,"41260 Kedzie Terrace, Dallas, TX",4692132549
ID000006,206267141,Judy Holmes,Judy,Holmes,jholmes5@github.io,"6583 Manitowish Hill, Dallas, TX",9728985909
ID000007,898613567,Deborah Lawrence,Deborah,Lawrence,dlawrence6@chicagotribune.com,"2 Hermina Trail, Dallas, TX",9729002951
ID000008,644250492,Adam Johnston,Adam,Johnston,ajohnston7@is.gd,"05671 Norway Maple Court, Dallas, TX",4697430176
ID000009,678124697,Pamela Carr,Pamela,Carr,pcarr8@stumbleupon.com,"1848 Fordem Avenue, Richardson, TX",9722479852
ID000010,562337951,Daniel Fisher,Daniel,Fisher,dfisher9@liveinternet.ru,"400 Cody Lane, Plano, TX",2148917743
ID000011,441907753,Stephen Fields,Stephen,Fields,sfieldsa@sphinn.com,"99 Fair Oaks Drive, Plano, TX",2148013069
ID000012,305533736,Walter Ferguson,Walter,Ferguson,wfergusonb@jalbum.net,"814 Sutteridge Point, Dallas, TX",4699458172
ID000013,634616311,Paul Cook,Paul,Cook,pcookc@blogtalkradio.com,"58295 Pierstorff Pass, Richardson, TX",4699320168
ID000014,661246360,Roy Smith,Roy,Smith,rsmithd@csmonitor.com,"563 Fairview Park, Dallas, TX",2149114724
ID000015,350838412,Michelle Gardner,Michelle,Gardner,mgardnere@wordpress.org,"28309 Paget Court, Plano, TX",4699742681
ID000016,439755475,George Powell,George,Powell,gpowellf@scribd.com,"31 Clove Crossing, Dallas, TX",9728857291
ID000017,431615822,Nicholas Hudson,Nicholas,Hudson,nhudsong@uol.com.br,"29 Esker Trail, Dallas, TX",4696984000
ID000018,879827179,Linda Henderson,Linda,Henderson,lhendersonh@mayoclinic.com,"117 Katie Center, Dallas, TX",4699970832
ID000019,484961826,Gregory Fowler,Gregory,Fowler,gfowleri@foxnews.com,"42454 Hermina Plaza, Dallas, TX",2149368301
ID000020,562527080,Carol Sanders,Carol,Sanders,csandersj@usda.gov,"99600 Moland Way, Dallas, TX",2147621061
ID000021,876615170,Mark Hamilton,Mark,Hamilton,mhamiltonk@deliciousdays.com,"76425 Dixon Hill, Dallas, TX",9728027903
ID000022,139711123,Anthony Brown,Anthony,Brown,abrownl@rakuten.co.jp,"8691 Walton Terrace, Dallas, TX",9729473376
ID000023,239166210,James Rivera,James,Rivera,jriveram@comsenz.com,"4 Golden Leaf Trail, Dallas, TX",2147618129
ID000024,283067717,Tammy Cole,Tammy,Cole,tcolen@toplist.cz,"22 Atwood Parkway, Dallas, TX",4692921882
ID000025,371609878,Donald Bowman,Donald,Bowman,dbowmano@goo.gl,"196 Golf View Terrace, Dallas, TX",2149566083
ID000026,438787652,Susan Gomez,Susan,Gomez,sgomezp@economist.com,"601 Warbler Point, Richardson, TX",9728771341
ID000027,893371519,Juan Martin,Juan,Martin,jmartinq@craigslist.org,"846 Johnson Circle, Dallas, TX",2148285694
ID000028,434925388,Samuel Bailey,Samuel,Bailey,sbaileyr@indiegogo.com,"1367 Northport Drive, Dallas, TX",9729722250
ID000029,444509807,Paul White,Paul,White,pwhites@fc2.com,"24775 Melvin Place, Dallas, TX",4694594087
ID000030,557410386,Gregory Clark,Gregory,Clark,gclarkt@bloglines.com,"259 Porter Avenue, Dallas, TX",9729795771
ID000031,123991439,Steven Wood,Steven,Wood,swoodu@shareasale.com,"852 Darwin Alley, Dallas, TX",2149842801
ID000032,507262481,Jessica Fuller,Jessica,Fuller,jfullerv@bloglovin.com,"975 Carpenter Parkway, Dallas, TX",9729565055
ID000033,258335117,Donna Greene,Donna,Greene,dgreenew@fema.gov,"86 Delladonna Lane, Dallas, TX",4699696535
ID000034,876944518,Edward Ford,Edward,Ford,efordx@dropbox.com,"34 Fulton Circle, Dallas, TX",2148691555
ID000035,153208011,Steve Torres,Steve,Torres,storresy@theguardian.com,"781 Loeprich Alley, Dallas, TX",4699647789
ID000036,881793670,Alice Rivera,Alice,Rivera,ariveraz@nasa.gov,"79 Dayton Center, Dallas, TX",2148413416
ID000037,878615560,Jessica Freeman,Jessica,Freeman,jfreeman10@devhub.com,"27997 Loftsgordon Lane, Dallas, TX",2148354205
ID000038,728844113,Kenneth Harrison,Kenneth,Harrison,kharrison11@sitemeter.com,"25074 Holmberg Park, Richardson, TX",9727741504
ID000039,792174540,Betty Austin,Betty,Austin,baustin12@nature.com,"4 Schmedeman Terrace, Dallas, TX",9729277561
ID000040,433053698,Irene Gonzalez,Irene,Gonzalez,igonzalez13@boston.com,"820 Oxford Crossing, Dallas, TX",2148655203
ID000041,132213747,Charles Foster,Charles,Foster,cfoster14@mtv.com,"850 Summerview Crossing, Dallas, TX",4699106688
ID000042,457939804,Gregory Perez,Gregory,Perez,gperez15@myspace.com,"57 Bluejay Pass, Dallas, TX",9724338549
ID000043,906161095,Jose Stone,Jose,Stone,jstone16@nhs.uk,"93 Waywood Parkway, Dallas, TX",9729918017
ID000044,882366316,Patrick Moore,Patrick,Moore,pmoore17@baidu.com,"78 Crest Line Road, Dallas, TX",2149502446
ID000045,728963473,Louis Lynch,Louis,Lynch,llynch18@zimbio.com,"12197 Kinsman Center, Dallas, TX",4698204208
ID000046,377441238,Matthew Snyder,Matthew,Snyder,msnyder19@google.com.au,"169 Mayfield Park, Richardson, TX",4698555018
ID000047,582627069,Sara Wagner,Sara,Wagner,swagner1a@addtoany.com,"24827 Twin Pines Junction, Richardson, TX",4699145869
ID000048,577822947,Louise Long,Louise,Long,llong1b@gov.uk,"6 Haas Center, Dallas, TX",2149390517
ID000049,216536968,Judy Hamilton,Judy,Hamilton,jhamilton1c@domainmarket.com,"65364 Mosinee Center, Dallas, TX",9728472849
ID000050,202403427,Evelyn Young,Evelyn,Young,eyoung1d@java.com,"4788 South Street, Dallas, TX",2148649776
ID000051,897568517,James Moore,James,Moore,jmoore1e@wix.com,"9089 Lunder Parkway, Dallas, TX",4698304056
ID000052,923847867,Clarence Romero,Clarence,Romero,cromero1f@tumblr.com,"68501 Michigan Street, Plano, TX",9729821803
